name,addr,gu,dong,위도_user,경도_user
신수동 자치회관,서울특별시 마포구 독막로 192,마포구,신수동,37.547098,126.9351834
서강동 자치회관,서울특별시 마포구 독막로 165,마포구,서강동,37.5477111,126.9320121
서교동 자치회관,서울특별시 마포구 동교로 15길 7,마포구,서교동,37.55511810000001,126.9145743
합정동 자치회관,서울특별시 마포구 월드컵로5길 11,마포구,합정동,37.55105289999999,126.9118656
망원1동 자치회관,서울특별시 마포구 포은로6길 10,마포구,망원1동,37.5555808,126.9058605
망원2동 자치회관,서울특별시 마포구 방울내로7길 11,마포구,망원2동,37.56034020000001,126.9022765
연남동 자치회관,서울특별시 마포구 성미산로29길 17-9,마포구,연남동,37.5644978,126.9219889
성산1동 자치회관,서울특별시 마포구 성산로4길 15,마포구,성산1동,37.5633686,126.9079759
성산2동 자치회관,서울특별시 마포구 월드컵북로30길 22,마포구,성산2동,37.5686424,126.9089435
상암동 자치회관,서울특별시 마포구 매봉산로2길 16,마포구,상암동,37.5782901,126.8946764
목1동 자치회관,서울특별시 양천구 목동서로 192,양천구,목1동,37.5303381,126.8711177
목2동 자치회관,서울특별시 양천구 목동본로 120,양천구,목2동,37.5360367,126.8745334
목3동 자치회관,서울특별시 양천구 목동중앙남로16나길 55,양천구,목3동,37.5447686,126.8644557
목4동 자치회관,서울특별시 양천구 목동중앙로25,양천구,목4동,37.532395,126.8683613
목5동 자치회관,서울특별시 양천구 목동서로41,양천구,목5동,37.5371646,126.8817305
신월1동 자치회관,서울특별시 양천구 곰달래로1길 38,양천구,신월1동,37.5328295,126.831521
신월2동 자치회관,서울특별시 양천구 중앙로 53길 47,양천구,신월2동,37.5249932,126.8445777
신월3동 자치회관,서울특별시 양천구 남부순환로54길 5,양천구,신월3동,37.5336393,126.8291041
신월4동 자치회관,서울특별시 양천구 오목로5길 34,양천구,신월4동,37.5247014,126.8400911
신월5동 자치회관,서울특별시 양천구 화곡로4길 10,양천구,신월5동,37.5385543,126.8272033
신월6동 자치회관,서울특별시 양천구 남부순환로83길 53,양천구,신월6동,37.51796660000001,126.8451222
신월7동 자치회관,서울특별시 양천구 남부순환로 70길 16-3,양천구,신월7동,37.5219053,126.8347202
신정1동 자치회관,서울특별시 양천구 중앙로32길 1,양천구,신정1동,37.5185819,126.8543294
신정2동 자치회관,서울특별시 양천구 목동동로 154,양천구,신정2동,37.5192116,126.8705988
신정3동 자치회관,서울특별시 양천구 중앙로 209,양천구,신정3동,37.5151161,126.8547766
신정4동 자치회관,서울특별시 양천구 오목로34길 5,양천구,신정4동,37.5245641,126.8558001
신정6동 자치회관,서울특별시 양천구 목동서로 353,양천구,신정6동,37.51703699999999,126.86449
신정7동 자치회관,서울특별시 양천구 목동동로 37,양천구,신정7동,37.5143744,126.8596108
염창동 자치회관,서울특별시 강서구 양천로67가길 63,강서구,염창동,37.5537583,126.8709683
등촌1동 자치회관,서울특별시 강서구 공항대로53가길 55,강서구,등촌1동,37.5558238,126.8589361
등촌2동 자치회관,서울특별시 강서구 등촌로 143,강서구,등촌2동,37.542666,126.8625233
등촌3동 자치회관,서울특별시 강서구 화곡로63길 96,강서구,등촌3동,37.5589249,126.847867
화곡본동 자치회관,서울특별시 강서구 초록마을로5길 29,강서구,화곡본동,37.5440348,126.8476663
화곡1동 자치회관,서울특별시 강서구 곰달래로 79,강서구,화곡1동,37.5304826,126.8415998
화곡2동 자치회관,서울특별시 강서구 곰달래로37길 13,강서구,화곡2동,37.5318626,126.8545007
화곡3동 자치회관,서울특별시 강서구 강서로33가길 17,강서구,화곡3동,37.5425823,126.8384114
화곡4동 자치회관,서울특별시 강서구 곰달래로57가길 26,강서구,화곡4동,37.53456120000001,126.8607912
화곡6동 자치회관,서울특별시 강서구 화곡로 312,강서구,화곡6동,37.551832,126.8500523
화곡8동 자치회관,서울특별시 강서구 곰달래로25길 45,강서구,화곡8동,37.5327086,126.8484029
우장산동 자치회관,서울특별시 강서구 우현로 34,강서구,우장산동,37.5482678,126.8418504
가양1동 자치회관,서울특별시 강서구 허준로 30,강서구,가양1동,37.5695093,126.844772
가양2동 자치회관,서울특별시 강서구 허준로 93,강서구,가양2동,37.56734489999999,126.8512857
가양3동 자치회관,서울특별시 강서구 허준로 202,강서구,가양3동,37.5610638,126.8606001
발산1동 자치회관,서울특별시 강서구 강서로47가길 54,강서구,발산1동,37.5517608,126.8348105
공항동 자치회관,서울특별시 강서구 송정로 45,강서구,공항동,37.5587825,126.8101136
방화1동 자치회관,서울특별시 강서구 방화대로 330,강서구,방화1동,37.5590009,126.8167292
방화2동 자치회관,서울특별시 강서구 개화동로23길 20,강서구,방화2동,37.5667054,126.8067167
방화3동 자치회관,서울특별시 강서구 금낭화로24길 5,강서구,방화3동,37.5787056,126.813676
신도림동 자치회관,서울특별시 구로구 신도림로40,구로구,신도림동,37.507756,126.8805903
구로1동 자치회관,서울특별시 구로구 구일로4길 57,구로구,구로1동,37.4930394,126.8758097
구로2동 자치회관,서울특별시 구로구 구로동로141,구로구,구로2동,37.491301,126.8833119
구로3동 자치회관,서울특별시 구로구 디지털로31길 109,구로구,구로3동,37.4874245,126.8903243
구로4동 자치회관,서울특별시 구로구 도림로9,구로구,구로4동,37.4856186,126.8865972
구로5동 자치회관,서울특별시 구로구 구로중앙로 28길 66,구로구,구로5동,37.5000803,126.8893198
가리봉동 자치회관,서울특별시 구로구 우마2길 35,구로구,가리봉동,37.4825577,126.8896851
고척1동 자치회관,서울특별시 구로구 중앙로3길 18-8,구로구,고척1동,37.5004049,126.8627872
고척2동 자치회관,서울특별시 구로구 중앙로15길 22,구로구,고척2동,37.5067037,126.8585765
개봉1동 자치회관,서울특별시 구로구 고척로25길 7,구로구,개봉1동,37.50217749999999,126.8471495
개봉2동 자치회관,서울특별시 구로구 개봉로16가길 17,구로구,개봉2동,37.4908237,126.8565837
개봉3동 자치회관,서울특별시 구로구 개봉로3길 47-5,구로구,개봉3동,37.4859938,126.8538368
오류1동 자치회관,서울특별시 구로구 경인로27길 7,구로구,오류1동,37.4970232,126.8451338
오류2동 자치회관,서울특별시 구로구 오류로 45,구로구,오류2동,37.4887742,126.8395046
수궁동 자치회관,서울특별시 구로구 오리로15길 32,구로구,수궁동,37.493841,126.8314904
가산동 자치회관,서울특별시 금천구 가산로 129,금천구,가산동,37.47686849999999,126.891752
독산1동 자치회관,서울특별시 금천구 시흥대로 123길 11,금천구,독산1동,37.4702205,126.8970511
독산2동 자치회관,서울특별시 금천구 범안로 1240-7,금천구,독산2동,37.4660629,126.8997581
독산3동 자치회관,서울특별시 금천구 독산로 317,금천구,독산3동,37.4751471,126.9031766
독산4동 자치회관,서울특별시 금천구 독산로 232,금천구,독산4동,37.46756,126.9021491
시흥1동 자치회관,서울특별시 금천구 시흥대로 58길 36,금천구,시흥1동,37.4535561,126.9032569
시흥2동 자치회관,서울특별시 금천구 금하로 764,금천구,시흥2동,37.4496132,126.9145056
싱흥3동 자치회관,서울특별시 금천구 시흥대로 18길 40,금천구,싱흥3동,37.4402761,126.9058266
시흥4동 자치회관,서울특별시 금천구 독산로 36길 14,금천구,시흥4동,37.4589441,126.9061487
시흥5동 자치회관,서울특별시 금천구 금하로 21길 20,금천구,시흥5동,37.4523532,126.9083015
영등포본동 자치회관,서울특별시 영등포구 신길로61길 17,영등포구,영등포본동,37.5146544,126.9093492
영등포동 자치회관,서울특별시 영등포구 영등포로53길 22,영등포구,영등포동,37.5203428,126.9106816
여의동 자치회관,서울특별시 영등포구 국제금융로 124,영등포구,여의동,37.5176542,126.9345783
당산1동 자치회관,서울특별시 영등포구 양산로23길 11,영등포구,당산1동,37.5249831,126.8974344
당산2동 자치회관,서울특별시 영등포구 당산로41가길 7,영등포구,당산2동,37.5310137,126.8973139
도림동 자치회관,서울특별시 영등포구 도영로7길 10,영등포구,도림동,37.5095364,126.8959912
문래동 자치회관,서울특별시 영등포구 문래로28길 15,영등포구,문래동,37.5176027,126.8999775
양평1동 자치회관,서울특별시 영등포구 영등포로11길 12,영등포구,양평1동,37.5236423,126.8882874
양평2동 자치회관,서울특별시 영등포구 양평로20길 8-1,영등포구,양평2동,37.5377969,126.8959201
신길1동 자치회관,서울특별시 영등포구 영등포로84길 24-5,영등포구,신길1동,37.5111591,126.9214567
신길3동 자치회관,서울특별시 영등포구 신길로41라길 13-8,영등포구,신길3동,37.5074416,126.9077555
신길4동 자치회관,서울특별시 영등포구 신길로42길 1,영등포구,신길4동,37.5084341,126.9113084
신길5동 자치회관,서울특별시 영등포구 도림로 264,영등포구,신길5동,37.5016093,126.9052605
신길6동 자치회관,서울특별시 영등포구 대방천로 169,영등포구,신길6동,37.4993965,126.909758
신길7동 자치회관,서울특별시 영등포구 여의대방로43길10,영등포구,신길7동,37.50640180000001,126.9214045
대림1동 자치회관,서울특별시 영등포구 디지털로 441,영등포구,대림1동,37.4954555,126.9059795
대림2동 자치회관,서울특별시 영등포구 대림로23길 25,영등포구,대림2동,37.4926782,126.8981706
대림3동 자치회관,서울특별시 영등포구 대림로 197,영등포구,대림3동,37.4983297,126.8980767
노량진1동 자치회관,서울특별시 동작구 장승배기로28길 30,동작구,노량진1동,37.5122642,126.9420235
노량진2동 자치회관,서울특별시 동작구 장승배기로19길 48,동작구,노량진2동,37.5084569,126.9373598
상도1동 자치회관,서울특별시 동작구 상도로53길 9,동작구,상도1동,37.49810859999999,126.953075
상도2동 자치회관,서울특별시 동작구 상도로 211,동작구,상도2동,37.5054751,126.9423034
상도3동 자치회관,서울특별시 동작구 성대로2길 11,동작구,상도3동,37.4991184,126.9314056
상도4동 자치회관,서울특별시 동작구 성대로29길 53,동작구,상도4동,37.5005839,126.937763
흑석동 자치회관,서울특별시 동작구 흑석한강로 11,동작구,흑석동,37.5058059,126.9666681
사당1동 자치회관,서울특별시 동작구 동작대로 17길 28,동작구,사당1동,37.4830388,126.9787584
사당2동 자치회관,서울특별시 동작구 동작대로 29길 52,동작구,사당2동,37.4887269,126.9792378
사당3동 자치회관,서울특별시 동작구 사당로17길 86,동작구,사당3동,37.4866526,126.9720613
사당4동 자치회관,서울특별시 동작구 사당로16아길 6,동작구,사당4동,37.4809542,126.9714903
사당5동 자치회관,서울특별시 동작구 사당로2가길 219,동작구,사당5동,37.4856801,126.9669347
대방동 자치회관,서울특별시 동작구 여의대방로44길 20,동작구,대방동,37.5081284,126.9263268
신대방1동 자치회관,서울특별시 동작구 신대방길 72,동작구,신대방1동,37.4889333,126.9100537
신대방2동 자치회관,서울특별시 동작구 여의대방로24길 106,동작구,신대방2동,37.4985861,126.9241102
보라매동 자치회관,서울특별시 관악구 봉천로 279-8,관악구,보라매동,37.4881588,126.9326825
중앙동 자치회관,서울특별시 관악구 양녕로6다길 7,관악구,중앙동,37.48418849999999,126.9497305
청림동 자치회관,서울특별시 관악구 관악로40길 39,관악구,청림동,37.4922659,126.9584734
행운동 자치회관,서울특별시 관악구 행운1길 43,관악구,행운동,37.4806522,126.9570635
청룡동 자치회관,서울특별시 관악구 쑥고개로 44,관악구,청룡동,37.4791157,126.9416667
낙성대동 자치회관,서울특별시 관악구 낙성대로 4가길 5,관악구,낙성대동,37.4763345,126.9583943
인헌동 자치회관,서울특별시 관악구 남부순환로246가길 20,관악구,인헌동,37.4751181,126.9653146
남현동 자치회관,서울특별시 관악구 남현1가길 29,관악구,남현동,37.47457850000001,126.9779107
신림동 자치회관,서울특별시 관악구 신림동길 14,관악구,신림동,37.487414,126.9271154
조원동 자치회관,서울특별시 관악구 조원로12길 25,관악구,조원동,37.4825591,126.9077925
난곡동 자치회관,서울특별시 관악구 난곡로30길 40,관악구,난곡동,37.4709336,126.9216902
난향동 자치회관,서울특별시 관악구 난곡로 67,관악구,난향동,37.4615276,126.9187407
서원동 자치회관,서울특별시 관악구 신림로 282,관악구,서원동,37.4798039,126.9312893
신원동 자치회관,서울특별시 관악구 신원로3길 13-6,관악구,신원동,37.481569,126.9273298
서림동 자치회관,서울특별시 관악구 신림로29길6,관악구,서림동,37.4750049,126.9349825
대학동 자치회관,서울특별시 관악구 신림로 111,관악구,대학동,37.4705868,126.9369533
은천동 자치회관,서울특별시 관악구 국회단지2길 29-10,관악구,은천동,37.4869283,126.9415816
성현동 자치회관,서울특별시 관악구 관악로 255-7,관악구,성현동,37.4872171,126.9566067
신사동 자치회관,서울특별시 관악구 조원로 151-1 ,관악구,신사동,37.4859633,126.9191074
미성동 자치회관,서울특별시 관악구 난곡로52길 16,관악구,미성동,37.4782254,126.9162214
삼성동 자치회관,서울특별시 관악구 호암로 520,관악구,삼성동,37.4640247,126.9318251
서초1동 자치회관,서울특별시 서초구 사임당로 89,서초구,서초1동,37.4901363,127.0195032
서초2동 자치회관,서울특별시 서초구 서초대로70길 51,서초구,서초2동,37.4920712,127.0249213
서초3동 자치회관,서울특별시 서초구 반포대로 34,서초구,서초3동,37.4836328,127.0120486
서초4동 자치회관,서울특별시 서초구 서운로26길 3,서초구,서초4동,37.5026713,127.0221885
잠원동 자치회관,서울특별시 서초구 나루터로 38,서초구,잠원동,37.5149849,127.0139718
반포본동 자치회관,서울특별시 서초구 신반포로 10,서초구,반포본동,37.5005116,126.9861188
반포1동 자치회관,서울특별시 서초구 사평대로 273,서초구,반포1동,37.50510180000001,127.0133828
반포2동 자치회관,서울특별시 서초구 신반포로15길 16,서초구,반포2동,37.5045901,126.9944678
반포3동 자치회관,서울특별시 서초구 신반포로23길 78,서초구,반포3동,37.512048,127.0055769
반포4동 자치회관,서울특별시 서초구 사평대로28길 70,서초구,반포4동,37.49747500000001,127.0003101
방배본동 자치회관,서울특별시 서초구 동광로19길 38,서초구,방배본동,37.4941411,126.9888281
방배1동 자치회관,서울특별시 서초구 효령로29길 43,서초구,방배1동,37.483402,126.9945314
방배2동 자치회관,서울특별시 서초구 청두곶길 36,서초구,방배2동,37.4798008,126.9855605
방배3동 자치회관,서울특별시 서초구 방배로 40,서초구,방배3동,37.4784318,126.9999868
방배4동 자치회관,서울특별시 서초구 방배로 173,서초구,방배4동,37.4890352,126.9921813
양재1동 자치회관,서울특별시 서초구 바우뫼로 41,서초구,양재1동,37.4716404,127.0267116
양재2동 자치회관,서울특별시 서초구 강남대로12길 44,서초구,양재2동,37.4706501,127.0412758
내곡동 자치회관,서울특별시 서초구 청계산로 15길 77,서초구,내곡동,37.4492917,127.0582212
신사동 주민자치센터,서울특별시 강남구 압구정로 128,강남구,신사동,37.5239986,127.022742
논현1동 주민자치센터,서울특별시 강남구 학동로20길 25,강남구,논현1동,37.511516,127.0285512
논현2동 주민자치센터,서울특별시 강남구 학동로43길 17,강남구,논현2동,37.5172918,127.0372351
압구정동 주민자치센터,서울특별시 강남구 압구정로33길 48,강남구,압구정동,37.5296583,127.0308297
청담동 주민자치센터,서울특별시 강남구 압구정로79길 26,강남구,청담동,37.5250615,127.0492445
삼성1동 주민자치센터,서울특별시 강남구 봉은사로 616,강남구,삼성1동,37.51433979999999,127.062632
삼성2동 주민자치센터,서울특별시 강남구 봉은사로 419,강남구,삼성2동,37.5112121,127.0459843
대치1동 주민자치센터,서울특별시 강남구 남부순환로391길 19,강남구,대치1동,37.4932486,127.056771
대치2동 주민자치센터,서울특별시 강남구 영동대로65길 24,강남구,대치2동,37.5022565,127.0641674
대치4동 주민자치센터,서울특별시 강남구 도곡로77길 23,강남구,대치4동,37.4997428,127.0578493
역삼1동 주민자치센터,서울특별시 강남구 역삼로7길 16,강남구,역삼1동,37.4953545,127.0332497
역삼2동 주민자치센터,서울특별시 강남구 도곡로43길 25,강남구,역삼2동,37.4960046,127.0468165
도곡1동 주민자치센터,"서울특별시 강남구 도곡로18길 57,2층",강남구,도곡1동,37.4883342,127.0389595
도곡2동 주민자치센터,서울특별시 강남구 남부순환로378길 34-9,강남구,도곡2동,37.4837326,127.0463753
개포1동 주민자치센터,"서울특별시 강남구 개포로 303, 상가동 103호",강남구,개포1동,37.4826691,127.0544261
개포2동 주민자치센터,서울특별시 강남구 개포로 511,강남구,개포2동,37.4897826,127.0690801
개포4동 주민자치센터,서울특별시 강남구 개포로38길 12,강남구,개포4동,37.478856,127.0516235
일원본동 주민자치센터,서울특별시 강남구 광평로 126,강남구,일원본동,37.4833153,127.0864733
일원1동 주민자치센터,서울특별시 강남구 양재대로55길 14,강남구,일원1동,37.4918934,127.0880146
일원2동 주민자치센터,서울특별시 강남구 개포로607,강남구,일원2동,37.4921026,127.073741
수서동 주민자치센터,서울특별시 강남구 광평로301-4,강남구,수서동,37.4889663,127.1049447
세곡동 주민자치센터,서울특별시 강남구 밤고개로 286,강남구,세곡동,37.46907590000001,127.1070218
풍납1동 자치회관,서울특별시 송파구 천호대로 152길 7,송파구,풍납1동,37.5380799,127.1220805
풍납2동 자치회관,서울특별시 송파구 토성로 52,송파구,풍납2동,37.5292505,127.1156741
거여1동 자치회관,서울특별시 송파구 오금로 53길 32,송파구,거여1동,37.4969863,127.1432714
거여2동 자치회관,서울특별시 송파구 거마로 2길 19,송파구,거여2동,37.4935529,127.1468374
마천1동 자치회관,서울특별시 송파구 마천로 303,송파구,마천1동,37.4959618,127.1498888
마천2동 자치회관,서울특별시 송파구 마천로 287,송파구,마천2동,37.4969377,127.1485915
방이1동 자치회관,서울특별시 송파구 위례성대로 16길 22,송파구,방이1동,37.510963,127.1239737
방이2동 자치회관,"서울특별시 송파구 올림픽로34길 5-13, 2층",송파구,방이2동,37.5162865,127.1111665
오륜동 자치회관,서울특별시 송파구 양재대로 1232,송파구,오륜동,37.5154168,127.1342812
오금동 자치회관,서울특별시 송파구 중대로 25길 5,송파구,오금동,37.5029383,127.1280979
송파1동 자치회관,서울특별시 송파구 백제고분로 392,송파구,송파1동,37.5062783,127.1093064
송파2동 자치회관,서울특별시 송파구 송이로 32,송파구,송파2동,37.502334,127.1167223
석촌동 자치회관,서울특별시 송파구 백제고분로 37길 16,송파구,석촌동,37.5035941,127.1036658
삼전동 자치회관,서울특별시 송파구 백제고분로 236,송파구,삼전동,37.502773,127.092549
가락본동 자치회관,서울특별시 송파구 송파대로 28길 39,송파구,가락본동,37.4955123,127.1217696
가락1동 자치회관,서울특별시 송파구 양재대로 925,송파구,가락1동,37.4964644,127.1096646
가락2동 자치회관,서울특별시 송파구 중대로 20길 6,송파구,가락2동,37.4987162,127.1266048
문정1동 자치회관,서울특별시 송파구 동남로 16,송파구,문정1동,37.5025251,127.134396
문정2동 자치회관,서울특별시 송파구 중대로 16,송파구,문정2동,37.4898757,127.1107986
장지동 자치회관,서울특별시 송파구 새말로 19길 6,송파구,장지동,37.4869996,127.1323561
위례동 자치회관,서울특별시 송파구 위례광장로 210,송파구,위례동,37.4811716,127.1439458
잠실본동 자치회관,서울특별시 송파구 백제고분로 15길 9,송파구,잠실본동,37.5061476,127.0843962
잠실2동 자치회관,서울특별시 송파구 올림픽로 159,송파구,잠실2동,37.5119449,127.0885174
잠실3동 자치회관,서울특별시 송파구 잠실로 51-31,송파구,잠실3동,37.5132807,127.0942379
잠실4동 자치회관,서울특별시 송파구 올림픽로 35길 16,송파구,잠실4동,37.5201652,127.1123922
잠실6동 자치회관,서울특별시 송파구 올림픽로 35길 120,송파구,잠실6동,37.5181025,127.1006496
잠실7동 자치회관,서울특별시 송파구 올림픽로 4길 17 상가2층,송파구,잠실7동,37.5088935,127.0768667
강일동 자치회관,서울특별시 강동구 아리수로93길 9-14,강동구,강일동,37.5650525,127.1739113
상일1동 자치회관,서울특별시 강동구 구천면로 633,강동구,상일1동,37.55061250000001,127.1682867
명일1동 자치회관,서울특별시 강동구 양재대로138길 37,강동구,명일1동,37.5497187,127.1459718
명일2동 자치회관,서울특별시 강동구 상암로 260,강동구,명일2동,37.5462869,127.1514332
고덕1동 자치회관,서울특별시 강동구 양재대로156길 123,강동구,고덕1동,37.5572781,127.1515088
고덕2동 자치회관,서울특별시 강동구 아리수로78길 43-12,강동구,고덕2동,37.5605504,127.1643796
암사1동 자치회관,서울특별시 강동구 고덕로24길 49,강동구,암사1동,37.5524052,127.1356376
암사2동 자치회관,서울특별시 강동구 상암로3길 28,강동구,암사2동,37.5517029,127.1272658
암사3동 자치회관,서울특별시 강동구 고덕로 137,강동구,암사3동,37.5549715,127.1408199
천호1동 자치회관,서울특별시 강동구 구천면로42길 59,강동구,천호1동,37.54505,127.1368011
천호2동 자치회관,서울특별시 강동구 올림픽로 698,강동구,천호2동,37.5434572,127.1254475
천호3동 자치회관,서울특별시 강동구 천호대로 1089,강동구,천호3동,37.5366155,127.1333074
성내1동 자치회관,서울특별시 강동구 성내로 13,강동구,성내1동,37.5304786,127.1224546
성내2동 자치회관,서울특별시 강동구 풍성로37가길 62,강동구,성내2동,37.53243459999999,127.1295121
성내3동 자치회관,서울특별시 강동구 강동대로53길 76,강동구,성내3동,37.5260424,127.1328389
길동 자치회관,서울특별시 강동구 양재대로 1442 4층,강동구,길동,37.5345802,127.1391813
둔촌2동 자치회관,서울특별시 강동구 천호대로 186길 7,강동구,둔촌2동,37.53334359999999,127.1419394
