전화번호,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,영업장주변구분명,위도_user,경도_user
02 34494029,135-906,서울특별시 강남구 압구정동 494,서울특별시 강남구 압구정로 343 (압구정동),6008.0,한화갤러리아(주) 명품관,기타식품판매업,,37.5285614,127.0400548
,138-888,서울특별시 송파구 문정동 618 파크하비오,"서울특별시 송파구 송파대로 111, 하비오길동 1층 호텔로 202동 137~144호 (문정동, 파크하비오)",5837.0,지에스더프레시 송파하비오점,기타식품판매업,,37.4806043,127.1236664
0215226333,158-831,서울특별시 양천구 신월동 217-21,"서울특별시 양천구 곰달래로2길 46, 1,2층 (신월동)",7927.0,식자재왕 도매마트,기타식품판매업,,37.5264076,126.8362839
02  30107726,138-736,서울특별시 송파구 풍납동 388-1 서울아산병원 동관 지하1층,"서울특별시 송파구 올림픽로43길 88 (풍납동,서울아산병원 동관 지하1층)",5505.0,현대그린푸드 H마트 서울아산병원점,기타식품판매업,,37.5266801,127.108279
02 26432211,157-900,서울특별시 강서구 화곡동 830-1,서울특별시 강서구 등촌로5길 80 (화곡동),7738.0,롯데슈퍼 화곡2점,기타식품판매업,,37.5330599,126.8589624
02 5437642,135-510,서울특별시 강남구 압구정동 456 금강쇼핑센타 지하1층,"서울특별시 강남구 압구정로 201 (압구정동,금강쇼핑센타 지하1층)",6004.0,(주)현대그린푸드 압구정슈퍼,기타식품판매업,,37.5296583,127.0308297
,157-909,"서울특별시 강서구 화곡동 900-1 해태드림타운 1층 110,111,112,113호","서울특별시 강서구 강서로7길 28, 1층 110,111,112,113호 (화곡동, 해태드림타운)",7777.0,(주)행복한식자재마트,기타식품판매업,,37.5299833,126.8461647
02 4065304,138-818,서울특별시 송파구 마천동 125,서울특별시 송파구 마천로43길 3 (마천동),5755.0,송파농협하나로마트 거마점,기타식품판매업,,37.5025545,127.1449624
,120-859,서울특별시 서대문구 홍제동 158-33 연세24시사우나,"서울특별시 서대문구 통일로 413, 1층 (홍제동)",3646.0,삼성식자재마트,기타식품판매업,,37.5861743,126.9464054
8419800,150-854,서울특별시 영등포구 신길동 861,서울특별시 영등포구 여의대방로 203 (신길동),7360.0,영등포농협 하나로마트(여의대방로점),기타식품판매업,,37.5101224,126.914424
02 3953676,120-857,"서울특별시 서대문구 홍제동 294-46 유진상가, 유진아파트,공유캠퍼스","서울특별시 서대문구 통일로 484, 유진상가, 유진아파트,공유캠퍼스 1층 (홍제동)",3628.0,롯데슈퍼 유진점,기타식품판매업,,37.5915033,126.9429722
02  22442800,130-836,서울특별시 동대문구 장안동 111-1 지하1층~지상1층,"서울특별시 동대문구 한천로 193, 지하1~지상1층 (장안동)",2534.0,동서울농업협동조합 하나로마트장안점,기타식품판매업,,37.5781984,127.0678217
0226033700,158-842,서울특별시 양천구 신월동 575-17 지상1층,"서울특별시 양천구 남부순환로79길 37, 지상1층 (신월동)",8064.0,농민마트,기타식품판매업,,37.5183901,126.8431685
02  22905739,152-887,서울특별시 구로구 신도림동 388-5 1층,"서울특별시 구로구 신도림로 57, 1층 (신도림동)",8203.0,롯데쇼핑(주)롯데슈퍼신도림점,기타식품판매업,,37.5093001,126.8816568
02  380 5894,135-804,서울특별시 강남구 개포동 189 개포자이 프레지던스,"서울특별시 강남구 삼성로 14, 지하1층 B117,B118호 (개포동, 개포자이 프레지던스)",6331.0,(주)이마트에브리데이 개포자이점,기타식품판매업,,37.48553709999999,127.0714351
02467 0093,143-903,서울특별시 광진구 중곡동 231-1 지상1층,"서울특별시 광진구 면목로 127 (중곡동, 지상1층)",4911.0,대원할인마트 주식회사,기타식품판매업,,37.5651775,127.0802363
02 7067272,121-130,서울특별시 마포구 구수동 60 외 3필지,"서울특별시 마포구 토정로 193 (구수동, 외 3필지)",4087.0,롯데슈퍼 마포점,기타식품판매업,,37.5464075,126.9378199
0226490297,158-886,서울특별시 양천구 신정동 327 목동신시가지아파트13단지 상가 비동 101호,"서울특별시 양천구 목동동로 100, 상가 비동 101호 (신정동, 목동신시가지아파트13단지)",8096.0,지에스 더 프레시 목동13점,기타식품판매업,,37.51511,126.866175
02  739 6780,120-090,"서울특별시 서대문구 홍제동 469 인왕산 한신휴플러스 (지하4층 B426,427)","서울특별시 서대문구 통일로 397 (홍제동,인왕산 한신휴플러스 (지하4층 B426,427))",3730.0,씨에스유통(주)롯데슈퍼홍제2점,기타식품판매업,,37.5885025,126.9396314
02 3868060,122-200,서울특별시 은평구 진관동 90-1,서울특별시 은평구 진관2로 117 (진관동),3305.0,롯데슈퍼 은평점,기타식품판매업,,37.6343737,126.9186772
02 7392360,110080,서울특별시 종로구 무악동 82 무악현대아파트상가 지하1층 (지하101호) ,"서울특별시 종로구 통일로 246-20, 지하1층 (무악동, 무악현대아파트상가)",3025.0,현대후레쉬마트,기타식품판매업,아파트지역,37.5752001,126.9604154
,151-050,서울특별시 관악구 봉천동 1706 관악우성아파트,"서울특별시 관악구 관악로30길 12, 상가동 지하1층 (봉천동, 관악우성아파트)",8735.0,탑할인마트,기타식품판매업,,37.48554439999999,126.9596403
02  493 3080,131-866,"서울특별시 중랑구 신내동 562 1층, 2층","서울특별시 중랑구 신내로 74 (신내동,1층, 2층)",2067.0,동서울농업협동조합 하나로마트 신내점,기타식품판매업,,37.6059444,127.0956906
0221632233,158-050,서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대백화점목동점)",7998.0,한무쇼핑(주)목동점 식품,기타식품판매업,,37.5263828,126.8752357
0269229882,100-861,서울특별시 중구 충무로2가 65-9 하이헤리엇,"서울특별시 중구 퇴계로 123, 하이헤리엇 지2층 10,11,17,18,19,34,36,37,38호 (충무로2가)",4536.0,라이프워크 도깨비,기타식품판매업,,37.561328,126.985353
0226470824,158-875,서울특별시 양천구 목동 903 (목동아파트 3단지 관리동상가) 105호,"서울특별시 양천구 목동서로 100, 105호 (목동, 목동아파트 3단지 관리동상가)",7982.0,씨에스유통(주)롯데슈퍼 목동점,기타식품판매업,,37.5343588,126.8729492
0241400146,156-826,서울특별시 동작구 사당동 1038-56 관악종합상가,"서울특별시 동작구 동작대로7길 58, 관악종합상가 지하1층 (사당동)",7025.0,사당마트,기타식품판매업,,37.4784082,126.9789373
02 8728545,151-823,서울특별시 관악구 봉천동 463-4 메카플러스,"서울특별시 관악구 양녕로 46, 지하1층 (봉천동)",8747.0,홈플러스익스프레스 봉천점,기타식품판매업,,37.4861536,126.9473568
0226941092,157-918,서울특별시 강서구 화곡동 1023,"서울특별시 강서구 화곡로21길 78, 1층 (화곡동)",7706.0,대원식자재마트,기타식품판매업,,37.5445092,126.8364646
02 9370291,139-822,서울특별시 노원구 상계동 649 12단지 종합상가,"서울특별시 노원구 동일로 1538, 12단지 종합상가 17호 (상계동)",1674.0,(주)농협유통상계점,기타식품판매업,,37.6659969,127.0579017
023805894,136-110,서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가,"서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 제상가동 (길음동)",2721.0,(주)이마트에브리데이 길음점,기타식품판매업,,37.6043055,127.0224453
02 9210894,136-060,"서울특별시 성북구 돈암동 639 돈암힐스테이트@상가 109호,110호","서울특별시 성북구 아리랑로 68 (돈암동,돈암힐스테이트@상가 109호,110호)",2827.0,오케이(O.K)식자재 마트,기타식품판매업,,37.5985316,127.015104
0269231055,158-766,서울특별시 양천구 목동 962 목동트라팰리스 웨스턴에비뉴 지하2층,"서울특별시 양천구 오목로 299, 지하2층 (목동, 목동트라팰리스 웨스턴에비뉴)",8001.0,(주)이마트 목동점,기타식품판매업,,37.5259926,126.8703832
0267161234,158-822,서울특별시 양천구 신월동 26 지상1층,"서울특별시 양천구 화곡로 59, 지상1층 (신월동)",7902.0,(주)이마트 신월점,기타식품판매업,,37.5397561,126.8287684
02  838 0553,152-844,서울특별시 구로구 구로동 112-15,서울특별시 구로구 구로중앙로28길 49 (구로동),8294.0,영등포농협 하나로마트 구로본점,기타식품판매업,,37.5001298,126.8881692
,121-849,서울특별시 마포구 성산동 99-1 A동,"서울특별시 마포구 모래내로 87, A동 1층 (성산동)",3949.0,시티식자재마트,기타식품판매업,,37.5666535,126.9125868
0226778877,150-102,서울특별시 영등포구 양평동2가 37-2,"서울특별시 영등포구 영등포로 21, 1층 (양평동2가)",7275.0,대흥할인마트,기타식품판매업,,37.52342660000001,126.8837577
0226696000,157-857,서울특별시 강서구 방화동 829-2 강서농협하나로마트 서관 (지하 1층),"서울특별시 강서구 금낭화로 287-10, 지하 1층 (방화동, 3동 강서농협하나로마트서관)",7510.0,강서농협 하나로마트(서관),기타식품판매업,,37.5766763,126.8118179
,139-837,서울특별시 노원구 상계동 1023-11,서울특별시 노원구 동일로234길 13 (상계동),1630.0,(주)새로나마트,기타식품판매업,,37.6732766,127.0564603
023610000,120-020,서울특별시 서대문구 미근동 332 웨스트게이트타워,"서울특별시 서대문구 충정로 70, 웨스트게이트타워 10,12,16층 (미근동)",3738.0,네슬레코리아 유한책임회사,기타식품판매업,,37.5647015,126.9662207
0236659345,156-840,서울특별시 동작구 상도동 188-14,"서울특별시 동작구 상도로 147, 1층 (상도동)",6950.0,한솔마트,기타식품판매업,,37.503203,126.9357679
,152-808,서울특별시 구로구 개봉동 182-1,"서울특별시 구로구 개봉로23가길 70, 1층 (개봉동)",8276.0,슈퍼맨마트 개봉점,기타식품판매업,,37.4947868,126.8598007
0234981140,137-893,서울특별시 서초구 양재동 230,서울특별시 서초구 청계산로 10 (양재동),6797.0,(주)농협유통 양재하나로클럽,기타식품판매업,,37.4627988,127.0438675
02  418 5853,138-836,서울특별시 송파구 방이동 217-0,"서울특별시 송파구 오금로31가길 20 (방이동, 대림가락아파트)",5647.0,지에스더프레시 방이점,기타식품판매업,,37.49759,127.120851
02 9859000,139-230,서울특별시 노원구 하계동 284,서울특별시 노원구 한글비석로 57 (하계동),1784.0,(주)세이브존아이앤씨,기타식품판매업,,37.6378658,127.068707
02  22905739,137-866,서울특별시 서초구 서초동 1445-3 1층 1001호의 일부,"서울특별시 서초구 효령로 304, 1층 (서초동, 1001호의 일부)",6720.0,롯데쇼핑(주)롯데슈퍼 서초국제전자센터점,기타식품판매업,,37.484742,127.0177676
,121-849,서울특별시 마포구 성산동 99-1,"서울특별시 마포구 모래내로 87, B동 1층 (성산동)",3949.0,시티식자재마트,기타식품판매업,,37.5666535,126.9125868
,156-030,서울특별시 동작구 상도동 535 상도2차두산위브트레지움아파트,"서울특별시 동작구 상도로30길 40, 상가동 1층 125~131호 (상도동, 상도2차두산위브트레지움아파트)",6964.0,(주)지에스리테일 GS더프레시 동작구청점,기타식품판매업,,37.503745,126.9434397
02 8136114,156-813,서울특별시 동작구 노량진동 330 삼익주상복합 지층,"서울특별시 동작구 만양로 84 (노량진동,삼익주상복합 지층)",6914.0,수협바다마트노량진점,기타식품판매업,,37.5108466,126.9450577
0232728544,121-814,"서울특별시 마포구 도화동 353 현대홈타운상가 108,109,111-131호","서울특별시 마포구 도화4길 73 (도화동, 현대홈타운상가 108,109,111-131호)",4180.0,홈플러스 익스프레스 도화점,기타식품판매업,,37.5377841,126.9517874
02  34987963,134-080,서울특별시 강동구 고덕동 688 고덕래미안힐스테이 상가 지층,"서울특별시 강동구 아리수로50길 50, 지층 (고덕동, 고덕래미안힐스테이 상가)",5229.0,하나로마트 고덕점,기타식품판매업,,37.5602282,127.1493354
02  337 2678,121-827,서울특별시 마포구 망원동 517,"서울특별시 마포구 월드컵로25길 26, 102동 1층 1-44, 45, 46, 47호 (망원동, 마포영화블렌하임)",3964.0,현대마트,기타식품판매업,,37.5586456,126.9061712
,132-040,서울특별시 도봉구 창동 27-3 주공아파트,"서울특별시 도봉구 노해로70길 46, 주공19단지종합상가 지층 19호 (창동)",1417.0,진로마트,기타식품판매업,,37.650137,127.0516544
02 9935601,132-858,서울특별시 도봉구 쌍문동 19 LG트윈빌상가 외4필지,"서울특별시 도봉구 도당로 10 (쌍문동, LG트윈빌상가 외4필지 )",1394.0,롯데쇼핑(주) 롯데슈퍼 쌍문점,기타식품판매업,,37.6590459,127.0353279
0203828654,122-859,"서울특별시 은평구 불광동 308-1 범서쇼핑 1,2층","서울특별시 은평구 통일로 842, 범서쇼핑 (불광동)",3350.0,롯데쇼핑(주)롯데슈퍼범서점,기타식품판매업,,37.6186663,126.9220569
02  22905637,137-803,서울특별시 서초구 반포동 54-1 쌍동빌딩 서관,"서울특별시 서초구 고무래로 22, 쌍동빌딩 서관 1층 (반포동)",6593.0,롯데쇼핑(주)롯데슈퍼 반포2점,기타식품판매업,,37.5025115,127.0107221
0222905600,135-190,서울특별시 강남구 세곡동 594 지상1층,"서울특별시 강남구 헌릉로569길 27, 지상1층 (세곡동)",6376.0,롯데쇼핑(주)롯데슈퍼 세곡점,기타식품판매업,,37.466796,127.09879
02  522 5603,151-800,"서울특별시 관악구 남현동 1059-16 지하1층,지상1층","서울특별시 관악구 남부순환로 2074 (남현동,지하1층,지상1층)",8806.0,롯데쇼핑(주)롯데슈퍼 남현점,기타식품판매업,,37.4761802,126.9791019
,136758,서울특별시 성북구 돈암동 624 돈암현대아파트,"서울특별시 성북구 정릉로44길 7, 나동 지하1,2층 (돈암동, 돈암현대아파트)",2806.0,플러스마트,기타식품판매업,,37.6016333,127.0248482
02  22905637,137-871,서울특별시 서초구 서초동 1521-2 서초타운 1층,"서울특별시 서초구 명달로20길 60, 1층 (서초동, 서초타운)",6668.0,롯데쇼핑(주) 롯데슈퍼 서초3동점,기타식품판매업,,37.4863908,127.007697
02 9155603,136-140,서울특별시 성북구 장위동 316-3 센트럴타운,"서울특별시 성북구 월계로40길 7, 지하1층 (장위동)",2759.0,롯데쇼핑(주) 롯데슈퍼 장위점,기타식품판매업,,37.6229347,127.0484606
,120-853,서울특별시 서대문구 홍제동 57-5 서대문푸르지오센트럴파크아파트,"서울특별시 서대문구 통일로 339, 101동 B201~207,B105호 (홍제동, 서대문푸르지오센트럴파크아파트)",3731.0,(주)이마트에브리데이 무악재점,기타식품판매업,,37.5870737,126.9489545
02 9308664,139-768,서울특별시 노원구 상계동 639-1 보람아파트2단지,"서울특별시 노원구 한글비석로 474, 보람아파트2단지 지층 5호 (상계동)",1671.0,오케이(O.K)마트,기타식품판매업,,37.664735,127.064591
02  22975180,133-010,서울특별시 성동구 상왕십리동 811 텐즈힐,"서울특별시 성동구 마장로 137, 221동 1230,1231,1232,1233,1234호 (상왕십리동, 텐즈힐)",4700.0,지에스 더프레시 성동텐즈힐점,기타식품판매업,,37.5693623,127.0247156
02 3805894,150-042,서울특별시 영등포구 당산동2가 165 한화포레나당산,"서울특별시 영등포구 당산로 83, 판매시설동 B1층 B102,B103호 (당산동2가, 한화포레나당산)",7264.0,(주)이마트에브리데이 영등포구청역점,기타식품판매업,,37.52225019999999,126.8953397
,110-847,서울특별시 종로구 평창동 323-4 1층,"서울특별시 종로구 평창문화로 39, 1층 (평창동)",3008.0,(주)럭키할인마트,기타식품판매업,,37.6053593,126.9656392
02  15881234,135-856,서울특별시 강남구 도곡동 467-17 타워팰리스,"서울특별시 강남구 언주로30길 57, 상가동 지하1층 (도곡동, 타워팰리스)",6293.0,(주)신세계 푸드마켓 도곡점,기타식품판매업,,37.4897104,127.0544907
0269515887,122-200,"서울특별시 은평구 진관동 67-1 은평구 뉴타운2지구 에코테라스 101,126호","서울특별시 은평구 진관3로 37, 은평구 뉴타운2지구 에코테라스 101,126호 (진관동)",3301.0,이마트에브리데이 은평진관점,기타식품판매업,,37.6381894,126.9192159
0234828812,137-040,"서울특별시 서초구 반포동 0 지하1층 B121,122,123,124,125,126,154,155,156,157,158호","서울특별시 서초구 반포대로 291, 지하1층 B121,122,123,124,125,126,154,155,156,157,158호 (반포동)",6506.0,(주)농협유통 하나로마트 반포점,기타식품판매업,,37.4955764,127.0056948
02  22991077,133-872,서울특별시 성동구 행당동 298-9,"서울특별시 성동구 왕십리로21나길 5, 1층 (행당동)",4714.0,형부네 할인마트,기타식품판매업,,37.5598767,127.0325315
02 9318343,139-867,서울특별시 노원구 중계동 591 대호프라자,"서울특별시 노원구 한글비석로 384, 대호프라자 지층 (중계동)",1662.0,수협바다마트 상계점,기타식품판매업,,37.65974730000001,127.0731798
0226037685,157-909,서울특별시 강서구 화곡동 900-1 해태드림타운 110~113호,"서울특별시 강서구 강서로7길 28, 1층 110~113호 (화곡동, 해태드림타운)",7777.0,엔식자재마켓 주식회사,기타식품판매업,,37.5299833,126.8461647
02  9550671,132-854,서울특별시 도봉구 방학동 713-14 나동,"서울특별시 도봉구 마들로 599, 나동 1층 (방학동)",1335.0,(주)대한식자재마트방학,기타식품판매업,,37.6636619,127.0461995
,122-877,서울특별시 은평구 수색동 341-6 1동 비101호,"서울특별시 은평구 수색로 322, 1동 지1층 101호 (수색동)",3488.0,(주)이마트에브리데이 은평수색점,기타식품판매업,,37.5842799,126.8925933
02  808 5100,153-831,서울특별시 금천구 독산동 1041-24 가락연합리테일,"서울특별시 금천구 독산로 204, 1,2층 (독산동, 가락연합리테일)",8559.0,해나온식자재마트 가락공판장 365할인매장,기타식품판매업,,37.4654816,126.9025089
02  865 0310,152-800,서울특별시 구로구 가리봉동 89-138,"서울특별시 구로구 구로동로 34, 1층 (가리봉동)",8385.0,영등포농협하나로마트 남구로역점,기타식품판매업,,37.4845968,126.8865963
02  380 5894,133-865,서울특별시 성동구 행당동 140 행당동 레몬프라자,"서울특별시 성동구 고산자로6길 40, 행당동 레몬프라자 1층 101호, 102호 (행당동)",4745.0,(주)이마트에브리데이 행당점,기타식품판매업,,37.5582591,127.0355555
,136-035,서울특별시 성북구 동소문동5가 75,"서울특별시 성북구 동소문로 98, 지하1층 (동소문동5가)",2846.0,(주)대서양식자재마트,기타식품판매업,,37.5895122,127.0055863
0220248000,131-872,서울특별시 중랑구 신내동 645 지하1층 홈플러스신내점 내,"서울특별시 중랑구 신내로 201 (신내동,지하1층 삼성홈플러스신내점 내)",2024.0,홈플러스(주) 홈플러스신내점,기타식품판매업,,37.6157539,127.0937534
0222801050,150-893,서울특별시 영등포구 여의도동 47,서울특별시 영등포구 여의동로3길 10 (여의도동),7324.0,(주)이마트 여의도점,기타식품판매업,,37.5181719,126.9260538
02 4372080,131-822,서울특별시 중랑구 면목동 168-2 홈플러스,"서울특별시 중랑구 사가정로 332, 홈플러스 지상1층 (면목동)",2236.0,홈플러스(주) 면목점,기타식품판매업,,37.5799415,127.0810446
02 3038824,122-952,서울특별시 은평구 응암동 754-1 양지시장 지하1~지상1,"서울특별시 은평구 응암로4길 20, 양지시장 지하1~지상1층 (응암동)",3480.0,모닝마트,기타식품판매업,,37.586733,126.9177033
02  400 2007,138-130,서울특별시 송파구 오금동 615 지하1층,"서울특별시 송파구 양재대로72길 5, 지하1층 (오금동)",5652.0,(주)농협유통하나로마트 방이역점,기타식품판매업,,37.5101613,127.1276574
02 3805894,132-898,서울특별시 도봉구 창동 1-28 씨드큐브 창동,"서울특별시 도봉구 마들로13길 61, 씨드큐브 창동 B119-2, B103-4호 (창동)",1413.0,(주)이마트에브리데이 창동씨드큐브점,기타식품판매업,,37.6543906,127.0498832
,143912,서울특별시 광진구 중곡동 638-4 ,서울특별시 광진구 천호대로 525 (중곡동),4920.0,그린팜마트(군자점),기타식품판매업,,37.558568,127.0769569
0234379150,143867,서울특별시 광진구 자양동 635-8 ,서울특별시 광진구 뚝섬로 639 (자양동),5060.0,중앙농협하나로마트,기타식품판매업,,37.531934,127.0807812
0222075507,131861,서울특별시 중랑구 상봉동 129-9 1층 ,"서울특별시 중랑구 망우로32길 23 (상봉동,1층)",2121.0,동부마트,기타식품판매업,,37.5929462,127.0771151
02 4901053,131809,서울특별시 중랑구 망우동 506-1 ,서울특별시 중랑구 상봉로 118 (망우동),2169.0,(주)이마트,기타식품판매업,기타,37.5964815,127.0934539
0218999900,131858,서울특별시 중랑구 상봉동 81-0 ,서울특별시 중랑구 망우로 336 (상봉동),2150.0,(주)코스트코코리아,기타식품판매업,기타,37.5968635,127.0902125
02 9557313,132801,"서울특별시 도봉구 도봉동 62-1 104~109,B105호 ","서울특별시 도봉구 도봉로180길 38, 104~109,B105호 (도봉동)",1320.0,(주)이마트에브리데이도봉점,기타식품판매업,,37.6825709,127.048016
02 9779339,139863,서울특별시 노원구 중계동 506-1 ,서울특별시 노원구 섬밭로 258 (중계동),1779.0,우영마트 식자재,기타식품판매업,,37.6388263,127.0647546
02  976 5000,139-240,"서울특별시 노원구 공릉동 711 1층,2층 일부","서울특별시 노원구 동일로197길 12 (공릉동, 1층,2층 일부)",1851.0,마트원,기타식품판매업,,37.629022,127.0704984
0226464331,158876,서울특별시 양천구 목동 904 목동신시가지아파트4단지 관리동 105호,"서울특별시 양천구 목동서로 130, 관리동 105호 (목동, 목동신시가지아파트4단지)",7989.0,(주)이마트에브리데이 목동점,기타식품판매업,주택가주변,37.5319314,126.8715915
0226488026,158050,서울특별시 양천구 목동 925 목동신시가지아파트 상가비동 102호,"서울특별시 양천구 목동로 212, 상가비동 102호 (목동, 목동신시가지아파트)",7993.0,(주)지에스리테일목동7점,기타식품판매업,주택가주변,37.5288229,126.8678406
0220624949,158861,서울특별시 양천구 신정동 1023-12 ,서울특별시 양천구 은행정로 5 (신정동),8086.0,에이스마트,기타식품판매업,,37.52020030000001,126.8596193
0226918955,158-815,"서울특별시 양천구 목동 736-3 왕자상가아파트 1층 101,102,103,104호","서울특별시 양천구 목동중앙남로 38, 왕자상가아파트 1층 101,102,103,104호 (목동)",7960.0,마이식자재마트(주),기타식품판매업,,37.537233,126.8669996
0226900770,158-864,서울특별시 양천구 신정동 1182-11 지하1층,"서울특별시 양천구 중앙로 237, 지하1층 (신정동)",8073.0,씨제이(CJ)빅마트,기타식품판매업,,37.5177284,126.8536262
02  26024402,157874,서울특별시 강서구 화곡동 140-19 ,서울특별시 강서구 화곡로 180 (화곡동),7727.0,진로마트,기타식품판매업,,37.5417887,126.841768
02  335 1158,121886,서울특별시 마포구 합정동 395-3,"서울특별시 마포구 월드컵로3길 76, 1층 (합정동)",4020.0,주식회사 윈플러스마트서부 마포점,기타식품판매업,,37.549455,126.9086507
02 8880930,151832,서울특별시 관악구 봉천동 1638-20 ,서울특별시 관악구 남부순환로248길 35 (봉천동),8793.0,원마트,기타식품판매업,기타,37.4744061,126.9658885
02 8844322,151865,서울특별시 관악구 신림동 390-1 ,서울특별시 관악구 원신2길 34 (신림동),8846.0,엠코중앙(대성마트),기타식품판매업,기타,37.4708802,126.9322384
02  69488000,151-801,서울특별시 관악구 남현동 612-1 홈플러스 남현점,"서울특별시 관악구 과천대로 909 (남현동, 홈플러스 남현점)",8808.0,홈플러스(주)서울남현점,기타식품판매업,,37.4714783,126.9824131
,140-854,서울특별시 용산구 이촌동 302-52 LG프라자 지하1층,"서울특별시 용산구 이촌로 200, LG프라자 지하1층 지101호,지102호,지103호,지121호 (이촌동)",4427.0,지에스더프레시(GS THE FRESH) 용산이촌점,기타식품판매업,,37.5209493,126.9693573
02 5718383,137898,서울특별시 서초구 양재동 372-0 ,서울특별시 서초구 동산로6길 3 (양재동),6785.0,영동농업협동조합,기타식품판매업,기타,37.47084,127.0435276
02  34598001,137-806,서울특별시 서초구 반포동 96-6 지하 1층(전체 임대),"서울특별시 서초구 서래로 23, 지하 1층 (반포동)",6576.0,홈플러스(주) 서래마을점,기타식품판매업,,37.4972048,126.9980713
02  414 5309,138851,서울특별시 송파구 송파동 134 지상1층 ,"서울특별시 송파구 백제고분로 424, 지상1층 (송파동)",5665.0,(주)올스타마트 방이점,기타식품판매업,,37.5085328,127.1114928
02 8660888,151-876,서울특별시 관악구 신림동 540-1,"서울특별시 관악구 남부순환로145길 29, 1층 1호가,1호나,2호,5호,6호,7호,8호,9호,10호 (신림동)",8767.0,현대홈마트,기타식품판매업,,37.48276269999999,126.9117309
02  980 3358,142-874,서울특별시 강북구 수유동 54-5 수유시장,"서울특별시 강북구 도봉로67길 18, 수유시장 2층 (수유동)",1117.0,엠마트,기타식품판매업,,37.6307808,127.0229483
,136-832,서울특별시 성북구 장위동 301 번동시장,"서울특별시 성북구 한천로101길 59, 번동시장 1층 (장위동)",2758.0,대명마트,기타식품판매업,,37.6213187,127.0479402
,130-874,서울특별시 동대문구 휘경동 35-6,"서울특별시 동대문구 망우로 114, 1층 (휘경동)",2501.0,신창운수(주) 마트,기타식품판매업,,37.590809,127.0656863
02 4544540,143817,서울특별시 광진구 구의동 53-1 정성빌딩,"서울특별시 광진구 천호대로 661, 정성빌딩 지하1층 (구의동)",4954.0,주식회사 정성마트,기타식품판매업,,37.552016,127.0904104
02 3805894,157-030,서울특별시 강서구 등촌동 73-1 금부빌딩 1층 일부,"서울특별시 강서구 양천로 476, 1층 일부호 (등촌동)",7575.0,(주)이마트에브리데이 가양역점,기타식품판매업,,37.5616105,126.8532675
,135887,서울특별시 강남구 신사동 510-11 ---------,"서울특별시 강남구 압구정로2길 46, 지상1층 (신사동, ---------)",6034.0,(주)이마트에브리데이 강남시장점,기타식품판매업,,37.5187712,127.0206688
